"CTIDEN";"CTCODI";"CTDESC";"CTSMLDV";"CTANEX";"CTTCID"
1;"A01";"NO TRANSITAR POR LA DERECHA DE LA VIA.";0;NULL;NULL
2;"A02";"AGARRARSE DE OTRO VEHICULO EN MOVIMIENTO";0;NULL;NULL
3;"A03";"TRANSPORTAR PERSONAS O COSAS QUE DISMINUYAN SU VISIBILIDAD E INCOMODEN LA CONDUCCION.";0;NULL;NULL
4;"A04";"TRANSITAR POR ANDENES, ACERAS, PUENTES O DEMAS LUGARES DE USO EXCLUSIVO PARA EL TRANSITO DE PEATONES";0;NULL;NULL
5;"A05";"NO RESPETAR LAS SEÑALES DE TRANSITO";0;NULL;NULL
6;"A06";"TRANSITAR SIN LOS DISPOSITIVOS LUMINOSOS REQUERIDOS";0;NULL;NULL
7;"A07";"TRANSITAR SIN DISPOSITIVOS QUE PERMITAN LA PARADA INMEDIATA O CON ELLOS, PERO EN ESTADO DEFECTUOSO.";0;NULL;NULL
8;"A08";"TRANSITAR POR ZONAS PROHIBIDAS O POR AQUELLAS VIAS EN DONDE LAS AUTORIDADES COMPETENTES LO PROHIBAN O, CONDUCIR POR VIAS DIFERENTES A AQUELLAS ESPECIALMENTE DISEÑADAS PARA ELLOS CUANDO LAS HUBIERE";0;NULL;NULL
9;"A09";"ADELANTAR ENTRE DOS (2) VEHICULOS AUTOMOTORES QUE ESTEN EN SUS RESPECTIVOS CARRILES.";0;NULL;NULL
10;"A10";"CONDUCIR POR LA VIA FERREA O POR ZONAS DE PROTECCION Y SEGURIDAD.";0;NULL;NULL
11;"A11";"DEJAR DE SEÑALIZAR: A) CON LAS LUCES DIRECCIONALES  LA MANIOBRA DE GIRO O DE CAMBIO DE CARRIL. B) MEDIANTE SEÑALES MANUALES, SOLO EN CASO DE EMERGENCIA, Y ANTE LA IMPOSIBILIDAD DE UTILIZAR LAS SEÑALES";0;NULL;NULL
12;"B01";"CONDUCIR UN VEHICULO SIN LLEVAR CONSIGO LA LICENCIA DE CONDUCCION.";0;NULL;NULL
13;"B02";"CONDUCIR UN VEHICULO CON LA LICENCIA DE CONDUCCION VENCIDA, DE ACUERDO A LOS SIGUIENTES CASOS A) EL CONDUCTOR DE SERVICIO PUBLICO QUE NO REFRENDE SU LICENCIA DE CONDUCCION CADA TRES (3) AÑOS B) EL CON";0;NULL;NULL
14;"B03";"CONDUCIR UN VEHICULO SIN PLACAS, NO PORTARLAS EN EL EXTREMO DELANTERO O TRASERO, PORTARLAS CON OBSTACULOS O EN CONDICIONES QUE DIFICULTEN SU PLENA IDENTIFICACION, PORTAR EN EL LUGAR DESTINADO A LAS PL";0;NULL;NULL
15;"B04";"CONDUCIR UN VEHICULO CON PLACAS ADULTERADAS, RETOCADAS O ALTERADAS";0;NULL;NULL
16;"B05";"CONDUCIR UN VEHICULO CON UNA SOLA PLACA, O SIN EL PERMISO VIGENTE EXPEDIDO POR AUTORIDAD DE TRANSITO.";0;NULL;NULL
17;"B06";"CONDUCIR UN VEHICULO CON PLACAS FALSAS. EN LOS CASOS B1,B2,B3, B4, B5 Y B6 LOS VEHICULOS SERAN INMOVILIZADOS";0;NULL;NULL
18;"B07";"NO INFORMAR A LA AUTORIDAD DE TRANSITO COMPETENTE EL CAMBIO DE MOTOR O COLOR DE UN VEHICULO. EN AMBOS CASOS, EL VEHICULO SERA INMOVILIZADO.";0;NULL;NULL
19;"B08";"NO PAGAR EL PEAJE EN LOS SITIOS ESTABLECIDOS.";0;NULL;NULL
20;"B09";"UTILIZAR EQUIPOS DE SONIDO A VOLUMENES QUE INCOMODEN A LOS PASAJEROS DE UN VEHICULO DE SERVICIO PUBLICO.";0;NULL;NULL
21;"B10";"CONDUCIR UN VEHICULO CON VIDRIOS POLARIZADOS, ENTINTADOS U OSCURECIDOS, SIN PORTAR EL PERMISO RESPECTIVO.";0;NULL;NULL
22;"B11";"CONDUCIR UN VEHICULO CON PROPAGANDA, PUBLICIDAD O ADHESIVOS EN SUS VIDRIOS QUE OBSTACULICEN LA VISIBILIDAD.";0;NULL;NULL
23;"B12";"NO RESPETAR LAS NORMAS ESTABLECIDAS POR LA AUTORIDAD COMPETENTE PARA EL TRANSITO DE CORTEJOS FUNEBRES.";0;NULL;NULL
24;"B13";"NO RESPETAR LAS FORMACIONES DE TROPAS,LA MARCHA DE DESFILES,PROCESIONES, ENTIERROS, FILAS ESTUDIANTILES, Y LAS MANIFESTACIONES PUBLICAS Y ACTIVIDADES DEPORTIVAS, DEBIDAMENTE AUTORIZADAS POR LAS AUTORI";0;NULL;NULL
25;"B14";"REMOLCAR OTRO VEHICULO VIOLANDO LO DISPUESTO POR ESTE CODIGO, ASI: A) REMOLCAR UN VEHICULO CON OTRO VEHICULO EN ZONA URBANA EN CIRCUNSTANCIA DIFERENTE A DESPEJAR LA VIA. B) REMOLCAR UN VEHICULO CON OT";0;NULL;NULL
26;"B15";"CONDUCIR UN VEHICULO DE SERVICIO PUBLICO QUE NO LLEVE EL AVISO DE TARIFAS OFICIALES EN CONDICIONES DE FACIL LECTURA PARA LOS PASAJEROS O POSEER ESTE AVISO DETERIORADO O ADULTERADO.";0;NULL;NULL
27;"B16";"PERMITIR QUE EN UN VEHICULO DE SERVICIO PUBLICO PARA TRANSPORTE DE PASAJEROS SE LLEVEN ANIMALES U OBJETOS QUE INCOMODEN A LOS PASAJEROS. NO LLEVAR EL EQUIPAJE DE LOS PASAJEROS EN LA BODEGA, BAUL O PAR";0;NULL;NULL
28;"B17";"ABANDONAR UN VEHICULO DE SERVICIO PUBLICO CON PASAJEROS.";0;NULL;NULL
29;"B18";"NO TRANSITAR POR EL CARRIL DERECHO EL VEHICULO DE TRANSPORTE PUBLICO INDIVIDUAL, CUANDO TRANSITA SIN PASAJEROS INDICANDO LA DISPONIBILIDAD PARA PRESTAR EL SERVICIO, MEDIANTE LUZ ESPECIAL O LA SEÑAL LU";0;NULL;NULL
30;"B19";"REALIZAR EL CARGUE O DESCARGUE DE UN VEHICULO EN SITIOS Y HORAS PROHIBIDAS POR LAS AUTORIDADES COMPETENTES, DE ACUERDO CON LO ESTABLECIDO EN LAS NORMAS CORRESPONDIENTES.";0;NULL;NULL
31;"B20";"TRANSPORTAR CARNE, PESCADO O ALIMENTOS FACILMENTE CORRUPTIBLES, EN VEHICULOS QUE NO CUMPLAN LAS CONDICIONES FIJADAS POR EL MINISTERIO DE TRANSPORTE.";0;NULL;NULL
32;"B21";"LAVAR VEHICULOS EN VIA PUBLICA, EN RIOS, EN CANALES Y EN QUEBRADAS.";0;NULL;NULL
33;"B22";"LLEVAR NIÑOS MENORES DE DIEZ (10) AÑOS EN EL ASIENTO DELANTERO.";0;NULL;NULL
34;"C01";"PRESENTAR LICENCIA DE CONDUCCION ADULTERADA O AJENA LO CUAL DARA LUGAR A LA INMOVILIZACION DEL VEHICULO.";0;NULL;NULL
37;"C04";"ESTACIONAR UN VEHICULO SIN TOMAR LAS DEBIDAS PRECAUCIONES O SIN COLOCAR A LA DISTANCIA SENALADA POR CODIGO NACIONAL DE TRANSITO, LAS SENALES DE PELIGRO REGLAMENTARIAS.";0;NULL;NULL
38;"C05";"NO REDUCIR LA VELOCIDAD A TREINTA (30) KILOMETROS POR HORA EN LOS SIGUIENTES CASOS: A) EN LUGARES DE CONCENTRACION DE PERSONAS Y EN ZONAS RESIDENCIALES. B) EN LAS ZONAS ESCOLARES DE LOS HORARIOS Y DIA";0;NULL;NULL
39;"C06";"NO UTILIZAR EL CINTURON DE SEGURIDAD POR PARTE DE LOS OCUPANTES DEL VEHICULO.";0;NULL;NULL
40;"C07";"DEJAR DE SEÑALIZAR: A) CON LAS LUCES DIRECCIONALES  LA MANIOBRA DE GIRO O DE CAMBIO DE CARRIL. B) MEDIANTE SEÑALES MANUALES, SOLO EN CASO DE EMERGENCIA, Y ANTE LA IMPOSIBILIDAD DE UTILIZAR LAS SEÑALES";0;NULL;NULL
41;"C08";"TRANSITAR SIN LOS DISPOSITIVOS LUMINOSOS REQUERIDOS O SIN LOS ELEMENTOS DETERMINADOS EN EL CODIGO NACIONAL DE TRANSITO.";0;NULL;NULL
42;"C09";"NO RESPETAR LAS SEÑALES DE DETENCION EN EL CRUCE DE UNA LINEA FERREA A UNA DISTANCIA MINIMA DE CINCO (5) METROS DE LA VIA FERREA O CONDUCIR POR LA VIA FERREA O POR LAS ZONAS DE PROTECCION Y SEGURIDAD ";0;NULL;NULL
43;"C10";"CONDUCIR UN VEHICULO CON UNA O VARIAS PUERTAS ABIERTAS.";0;NULL;NULL
44;"C11";"NO PORTAR EL EQUIPO DE PREVENCION Y SEGURIDAD ESTABLECIDO EN ESTE CODIGO O EN LA REGLAMENTACION CORRESPONDIENTE.";0;NULL;NULL
45;"C12";"PROVEER DE COMBUSTIBLE UN VEHICULO AUTOMOTOR CON EL MOTOR ENCENDIDO, CON PASAJEROS A BORDO CUANO EL VEHICULO ES DE SERVICIO PUBLICO DE RADIO DE ACCION NACIONAL, TRANSPORTE ESPECIAL Y ESCOLAR O PROVEER";0;NULL;NULL
46;"C13";"CONDUCIR UN VEHICULO AUTOMOTOR SIN LAS ADAPTACIONES PERTINENTES, CUADNO EL CONDUCTOR PADECE DE LIMITACION FISICA.";0;NULL;NULL
