MUIDEN	MUDEID	MUNOMB	MUCODSIM
2	2	MEDELLIN	5001000
3	2	ABEJORRAL	5002000
4	2	ABRIAQUI	5004000
5	2	ALEJANDRIA	5021000
6	2	AMAGA	5030000
7	2	AMALFI	5031000
8	2	ANDES	5034000
9	2	ANGELOPOLIS	5036000
10	2	ANGOSTURA	5038000
11	2	ANORI	5040000
12	2	SANTAFE DE ANTIOQUIA	5042000
13	2	ANZA	5044000
14	2	APARTADO	5045000
15	2	ARBOLETES	5051000
16	2	ARGELIA	5055000
17	2	ARMENIA	5059000
18	2	BARBOSA	5079000
19	2	BELMIRA	5086000
20	2	BELLO	5088000
21	2	BETANIA	5091000
22	2	BETULIA	5093000
23	2	CIUDAD BOLIVAR	5101000
24	2	BRICENO	5107000
25	2	BURITICA	5113000
26	2	CACERES	5120000
27	2	CAICEDO	5125000
28	2	CALDAS	5129000
29	2	CAMPAMENTO	5134000
30	2	CANASGORDAS	5138000
31	2	CARACOLI	5142000
32	2	CARAMANTA	5145000
33	2	CAREPA	5147000
34	2	EL CARMEN DE VIBORAL	5148000
35	2	CAROLINA	5150000
36	2	CAUCASIA	5154000
37	2	CHIGORODO	5172000
38	2	CISNEROS	5190000
39	2	COCORNA	5197000
40	2	CONCEPCION	5206000
41	2	CONCORDIA	5209000
42	2	COPACABANA	5212000
43	2	DABEIBA	5234000
44	2	DON MATIAS	5237000
45	2	EBEJICO	5240000
46	2	EL BAGRE	5250000
47	2	ENTRERRIOS	5264000
48	2	ENVIGADO	5266000
49	2	FREDONIA	5282000
50	2	FRONTINO	5284000
51	2	GIRALDO	5306000
52	2	GIRARDOTA	5308000
53	2	GOMEZ PLATA	5310000
54	2	GRANADA	5313000
55	2	GUADALUPE	5315000
56	2	GUARNE	5318000
57	2	GUATAPE	5321000
58	2	HELICONIA	5347000
59	2	HISPANIA	5353000
60	2	ITAGUI	5360000
61	2	ITUANGO	5361000
62	2	JARDIN	5364000
63	2	JERICO	5368000
64	2	LA CEJA	5376000
65	2	LA ESTRELLA	5380000
66	2	LA PINTADA	5390000
67	2	LA UNION	5400000
68	2	LIBORINA	5411000
69	2	MACEO	5425000
70	2	MARINILLA	5440000
71	2	MONTEBELLO	5467000
72	2	MURINDO	5475000
73	2	MUTATA	5480000
74	2	NARINO	5483000
75	2	NECOCLI	5490000
76	2	NECHI	5495000
77	2	OLAYA	5501000
78	2	PENOL	5541000
79	2	PEQUE	5543000
80	2	PUEBLORRICO	5576000
81	2	PUERTO BERRIO	5579000
82	2	PUERTO NARE	5585000
83	2	PUERTO TRIUNFO	5591000
84	2	REMEDIOS	5604000
85	2	RETIRO	5607000
86	2	RIONEGRO	5615000
87	4	SABANALARGA	5628000
88	2	SABANETA	5631000
89	2	SALGAR	5642000
90	2	SAN ANDRES	5647000
91	2	SAN CARLOS	5649000
92	2	SAN FRANCISCO	5652000
93	2	SAN JERONIMO	5656000
94	2	SAN JOSE DE LA MONTANA	5658000
95	2	SAN JUAN DE URABA	5659000
96	2	SAN LUIS	5660000
97	2	SAN PEDRO	5664000
98	2	SAN PEDRO DE URABA	5665000
99	2	SAN RAFAEL	5667000
100	2	SAN ROQUE	5670000
101	2	SAN VICENTE	5674000
102	2	SANTA BARBARA	5679000
103	2	SANTA ROSA DE OSOS	5686000
104	2	SANTO DOMINGO	5690000
105	2	EL SANTUARIO	5697000
106	2	SEGOVIA	5736000
107	2	SONSON	5756000
